Started Parsing raw log files
Number of files: 2
Opened 1.log.log
NewTask 2 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
EndDragBlock 1602614455 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1949440316 | added to participant #1
StartDragBlock 1949440316 | added to participant #1
MoveBlock 1949440316 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1949440316 | added to participant #1
MoveBlock 1949440316 | added to participant #1
MoveBlock 1949440316 | added to participant #1
MoveBlock 1949440316 | added to participant #1
MoveBlock 1949440316 | added to participant #1
MoveBlock 1949440316 | added to participant #1
MoveBlock 1949440316 | added to participant #1
MoveBlock 1949440316 | added to participant #1
EndDragBlock 1949440316 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 609359335 | added to participant #1
StartDragBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MouseClick | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
MoveBlock 609359335 | added to participant #1
EndDragBlock 609359335 | added to participant #1
MouseReleased | added to participant #1
NewTask 25 | added to participant #1
CreateBlock 1407087523 | added to participant #1
StartDragBlock 1407087523 | added to participant #1
MoveBlock 1407087523 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1407087523 | added to participant #1
MoveBlock 1407087523 | added to participant #1
MoveBlock 1407087523 | added to participant #1
MoveBlock 1407087523 | added to participant #1
MoveBlock 1407087523 | added to participant #1
MoveBlock 1407087523 | added to participant #1
MoveBlock 1407087523 | added to participant #1
MoveBlock 1407087523 | added to participant #1
EndDragBlock 1407087523 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 371570992 | added to participant #1
StartDragBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MouseClick | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
