Started Parsing raw log files
Number of files: 2
Opened 1.log.log
NewTask 2 | added to participant #1
MoveBlock 1497895052 | added to participant #1
MoveBlock 1497895052 | added to participant #1
MoveBlock 1497895052 | added to participant #1
MoveBlock 1497895052 | added to participant #1
EndDragBlock 1497895052 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 817774765 | added to participant #1
StartDragBlock 817774765 | added to participant #1
MoveBlock 817774765 | added to participant #1
MouseClick | added to participant #1
MoveBlock 817774765 | added to participant #1
MoveBlock 817774765 | added to participant #1
MoveBlock 817774765 | added to participant #1
MoveBlock 817774765 | added to participant #1
MoveBlock 817774765 | added to participant #1
MoveBlock 817774765 | added to participant #1
MoveBlock 817774765 | added to participant #1
EndDragBlock 817774765 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1690923384 | added to participant #1
StartDragBlock 1690923384 | added to participant #1
MoveBlock 1690923384 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1690923384 | added to participant #1
MoveBlock 1690923384 | added to participant #1
MoveBlock 1690923384 | added to participant #1
MoveBlock 1690923384 | added to participant #1
MoveBlock 1690923384 | added to participant #1
MoveBlock 1690923384 | added to participant #1
MoveBlock 1690923384 | added to participant #1
EndDragBlock 1690923384 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1827331929 | added to participant #1
StartDragBlock 1827331929 | added to participant #1
MoveBlock 1827331929 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1827331929 | added to participant #1
MoveBlock 1827331929 | added to participant #1
MoveBlock 1827331929 | added to participant #1
MoveBlock 1827331929 | added to participant #1
MoveBlock 1827331929 | added to participant #1
EndDragBlock 1827331929 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 309334921 | added to participant #1
StartDragBlock 309334921 | added to participant #1
MoveBlock 309334921 | added to participant #1
MouseClick | added to participant #1
MoveBlock 309334921 | added to participant #1
MoveBlock 309334921 | added to participant #1
MoveBlock 309334921 | added to participant #1
MoveBlock 309334921 | added to participant #1
MoveBlock 309334921 | added to participant #1
MoveBlock 309334921 | added to participant #1
MoveBlock 309334921 | added to participant #1
MoveBlock 309334921 | added to participant #1
EndDragBlock 309334921 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 652364872 | added to participant #1
StartDragBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MouseClick | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
MoveBlock 652364872 | added to participant #1
EndDragBlock 652364872 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 901400531 | added to participant #1
StartDragBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MouseClick | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
MoveBlock 901400531 | added to participant #1
EndDragBlock 901400531 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 842799656 | added to participant #1
StartDragBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MouseClick | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
MoveBlock 842799656 | added to participant #1
EndDragBlock 842799656 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1965708710 | added to participant #1
StartDragBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
MoveBlock 1965708710 | added to participant #1
EndDragBlock 1965708710 | added to participant #1
MouseReleased | added to participant #1
NewTask 54 | added to participant #1
CreateBlock 346030769 | added to participant #1
StartDragBlock 346030769 | added to participant #1
MoveBlock 346030769 | added to participant #1
MouseClick | added to participant #1
MoveBlock 346030769 | added to participant #1
MoveBlock 346030769 | added to participant #1
MoveBlock 346030769 | added to participant #1
MoveBlock 346030769 | added to participant #1
MoveBlock 346030769 | added to participant #1
MoveBlock 346030769 | added to participant #1
MoveBlock 346030769 | added to participant #1
MoveBlock 346030769 | added to participant #1
MoveBlock 346030769 | added to participant #1
EndDragBlock 346030769 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 2112563194 | added to participant #1
StartDragBlock 2112563194 | added to participant #1
MoveBlock 2112563194 | added to participant #1
MouseClick | added to participant #1
MoveBlock 2112563194 | added to participant #1
MoveBlock 2112563194 | added to participant #1
MoveBlock 2112563194 | added to participant #1
MoveBlock 2112563194 | added to participant #1
MoveBlock 2112563194 | added to participant #1
MoveBlock 2112563194 | added to participant #1
MoveBlock 2112563194 | added to participant #1
MoveBlock 2112563194 | added to participant #1
MoveBlock 2112563194 | added to participant #1
EndDragBlock 2112563194 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1043944424 | added to participant #1
StartDragBlock 1043944424 | added to participant #1
MoveBlock 1043944424 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1043944424 | added to participant #1
MoveBlock 1043944424 | added to participant #1
MoveBlock 1043944424 | added to participant #1
MoveBlock 1043944424 | added to participant #1
MoveBlock 1043944424 | added to participant #1
MoveBlock 1043944424 | added to participant #1
MoveBlock 1043944424 | added to participant #1
EndDragBlock 1043944424 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1025104996 | added to participant #1
StartDragBlock 1025104996 | added to participant #1
MoveBlock 1025104996 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1025104996 | added to participant #1
MoveBlock 1025104996 | added to participant #1
MoveBlock 1025104996 | added to participant #1
MoveBlock 1025104996 | added to participant #1
MoveBlock 1025104996 | added to participant #1
MoveBlock 1025104996 | added to participant #1
MoveBlock 1025104996 | added to participant #1
EndDragBlock 1025104996 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1692967183 | added to participant #1
StartDragBlock 1692967183 | added to participant #1
MoveBlock 1692967183 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1692967183 | added to participant #1
MoveBlock 1692967183 | added to participant #1
MoveBlock 1692967183 | added to participant #1
MoveBlock 1692967183 | added to participant #1
MoveBlock 1692967183 | added to participant #1
MoveBlock 1692967183 | added to participant #1
MoveBlock 1692967183 | added to participant #1
EndDragBlock 1692967183 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1397554341 | added to participant #1
StartDragBlock 1397554341 | added to participant #1
MoveBlock 1397554341 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1397554341 | added to participant #1
MoveBlock 1397554341 | added to participant #1
MoveBlock 1397554341 | added to participant #1
MoveBlock 1397554341 | added to participant #1
MoveBlock 1397554341 | added to participant #1
MoveBlock 1397554341 | added to participant #1
MoveBlock 1397554341 | added to participant #1
EndDragBlock 1397554341 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1771717627 | added to participant #1
StartDragBlock 1771717627 | added to participant #1
MoveBlock 1771717627 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1771717627 | added to participant #1
MoveBlock 1771717627 | added to participant #1
MoveBlock 1771717627 | added to participant #1
MoveBlock 1771717627 | added to participant #1
MoveBlock 1771717627 | added to participant #1
MoveBlock 1771717627 | added to participant #1
EndDragBlock 1771717627 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1867965524 | added to participant #1
StartDragBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
MoveBlock 1867965524 | added to participant #1
